순위,업소명,주소,분류,현지인 검색 수
240,꽁뚜,대전 대덕구 신탄진로36번길 111-0,외국식,706
242,대전밀면본점,대전 동구 옥천로176번길 8-0,한식,700
243,옛터,대전 동구 산내로 321-37,한식,686
244,성심당대전역점,대전 동구 중앙로 215-0,간이음식,678
245,백제식당,대전 동구 산서로1615번길 87-0,한식,677
246,찌글이짜글이본점,대전 대덕구 대덕대로1454번길 13-0,한식,669
247,두손개성만두,대전 중구 보문산로365번길 2-0,한식,657
248,김판순김치찌개,대전 중구 안영로 45-0,한식,648
249,적덕식당,대전 동구 우암로 220-3,한식,642
250,착한낙지보문산점,대전 중구 대종로 331-0,전문음식,627
251,백마강참숯민물장어,대전 대덕구 동서대로 1752-0,전문음식,626
252,태화원[중식],대전 중구 중앙로112번길 43-0,외국식,625
253,칼짬뽕[중식],대전 중구 문화로 88-0,외국식,618
254,금광한정식[한식],대전 중구 충무로 127-0,한식,612
255,몽그라운드애견카페,대전 중구 어덕마을로 42-5,카페/찻집,599
255,빵한모금,대전 동구 백룡로5번길 59-0,간이음식,599
257,통일면옥,대전 대덕구 한밭대로1117번길 17-0,한식,597
258,장원오리,대전 동구 한밭대로 1299-0,전문음식,594
259,샤브쌈주머니서대전역점,대전 중구 오류로 31-0,전문음식,593
260,카라멜,대전 중구 보문로288번길 19-0,전문음식,589
261,띠울석갈비본점,대전 대덕구 신탄진로 209-0,한식,582
262,서울북어,대전 중구 목중로20번길 54-0,전문음식,578
263,소담촌대전용전점,대전 동구 한밭대로 1234-0,전문음식,575
264,홍두깨칼국수,대전 중구 대종로 258-0,한식,572
265,형제횟집,대전 대덕구 중리로76번길 22-0,전문음식,571
266,옹심이메밀칼국수,대전 중구 계룡로904번길 19-0,한식,570
267,진로집,대전 중구 중교로 45-5,한식,568
268,육교회관,대전 중구 문화로 145-0,전문음식,564
268,짬뽕지존신탄진점 [중식],대전 대덕구 신탄진로 578-0,외국식,564
270,허브향기,대전 동구 산내로 292-0,카페/찻집,560
271,오씨칼국수,대전 동구 중앙로204번길 75-0,한식,555
272,밀밭칼국수본점,대전 중구 보문산로 147-18,한식,554
273,아줌마돈까스,대전 중구 충무로 124-0,전문음식,539
274,가래울,대전 동구 대청호수로585번길 8-0,전문음식,536
274,이가촌,대전 대덕구 아리랑로 141-0,한식,536
274,태평족발,대전 중구 동서대로 1224-0,전문음식,536
277,뚝배기에담은이탈리아,대전 대덕구 송촌북로4번길 47-10,전문음식,534
278,모들식탁,대전 대덕구 대덕대로1448번길 117-0,한식,532
279,부잣집곰탕,대전 중구 대흥로 131-0,한식,531
279,맛소야직영점,대전 중구 대전천서로 627-0,한식,531
281,만포분식,대전 동구 한남로7번길 87-0,간이음식,530
282,라끄블루,대전 동구 회남로275번길 161-0,카페/찻집,528
283,동백카츠대흥점,대전 중구 대종로452번길 3-0,전문음식,526
284,시골막국수앤옹심이본점,대전 중구 대둔산로 275-0,한식,524
285,혜성옥본점,대전 대덕구 한밭대로 1147-0,한식,521
285,명랑식당,대전 동구 태전로 56-20,한식,521
