순위,업소명,주소,분류,현지인 검색 수
287,쌍둥이돼지국밥대연점,부산 남구 유엔평화로13번길 2-0,한식,1288
288,만호갈미샤브샤브,부산 강서구 르노삼성대로 602-0,전문음식,1287
289,하라케이크부산점,부산 강서구 명지국제6로302번길 11-6,간이음식,1283
290,다리집본점,부산 수영구 남천바다로10번길 70-0,간이음식,1280
291,칠암만장,부산 기장군 일광로 648-0,전문음식,1271
292,자담면가,부산 강서구 영강길81번길 10-0,한식,1270
293,국제식품초원농원양정점,부산 부산진구 거제대로 70-0,한식,1264
294,더파티시청점,부산 연제구 중앙대로 1000-0,전문음식,1254
294,이흥용과자점구서점,부산 금정구 금샘로 379-1,간이음식,1254
296,공원집,부산 부산진구 가야공원로 83-12,전문음식,1248
297,챠오샤브,부산 강서구 명지국제2로28번길 23-0,한식,1247
298,조방제일한우,부산 동구 조방로42번길 12-0,한식,1243
299,소향갈비탕소불고기전골,부산 기장군 차성남로51번길 17-0,한식,1238
299,오구카페,부산 영도구 남항서로 52-0,카페/찻집,1238
301,류센소명지점,부산 강서구 명지국제5로148번길 16-1,외국식,1235
302,춘하추동밀면서면본점,부산 부산진구 서면문화로 48-1,한식,1231
303,난로회담,부산 기장군 상장안2길 6-10,한식,1229
304,아수라기장점,부산 기장군 반송로 1628-0,한식,1224
305,꽃나라,부산 기장군 병산로 201-0,한식,1223
305,이재모피자,부산 중구 광복중앙로 31-0,간이음식,1223
307,기장혼국보미역본점,부산 기장군 공수1길 3-0,한식,1222
308,더팜471,부산 금정구 하마2길 28-17,카페/찻집,1221
309,초원복국대연본점,부산 남구 황령대로492번길 30-0,전문음식,1219
310,어보,부산 기장군 일광로 582-22,전문음식,1213
311,쌍희반점[중식],부산 남구 8부두로 3-1,외국식,1209
311,디에이블광안점,부산 수영구 민락수변로 29-0,외국식,1209
313,이흥용과자점문현직영점,부산 남구 수영로39번길 2-1,간이음식,1203
314,광명집,부산 남구 신선로 458-0,한식,1202
315,쉐이크쉑서면점,부산 부산진구 중앙대로 672-0,간이음식,1197
316,닭발의지존,부산 수영구 연수로 374-0,전문음식,1196
317,내호냉면,부산 남구 우암번영로26번길 17-0,한식,1195
318,부자집쌈밥돼지국밥,부산 기장군 구연방곡로 7-1,한식,1191
319,상무초밥부산동래점,부산 동래구 명륜로 138-0,외국식,1188
320,우정갈비,부산 금정구 금샘로 353-0,한식,1185
321,녹슨드럼통본점,부산 강서구 경전철로 233-2,한식,1170
322,브런치빈부산명지점,부산 강서구 명지오션시티4로 94-0,카페/찻집,1156
323,금촌돼지국밥,부산 강서구 명지국제6로1번가길 23-1,한식,1151
323,푸주옥부산점,부산 사하구 사하로 133-0,한식,1151
323,하늘연달스무아흐레,부산 북구 덕천로 375-0,카페/찻집,1151
326,벨렘351,부산 강서구 대저로299번길 6-0,카페/찻집,1149
327,꽃마름하단역점,부산 사하구 낙동남로 1427-0,전문음식,1134
327,송정해녀집본점,부산 기장군 공수해안길 57-2,전문음식,1134
329,엄용백돼지국밥,부산 수영구 수영로680번길 39-0,한식,1129
330,오후의홍차,부산 수영구 민락수변로 243-0,간이음식,1125
331,조자룡,부산 기장군 병산2로 52-0,한식,1121
332,풍원장안동보리밥[한식],부산 기장군 기장해안로 250-0,한식,1116
333,바다향꼬막한상,부산 기장군 기장해안로 136-0,전문음식,1115
334,봄내멸치쌈밥,부산 강서구 명지오션시티8로 27-0,한식,1112
335,하나돈까스남천점,부산 수영구 광남로 62-0,전문음식,1111
336,리디엔폴,부산 금정구 금샘로 219-0,카페/찻집,1110
337,소고기집박군명지점,부산 강서구 명지국제6로220번길 5-4,한식,1108
338,카페윤,부산 기장군 기장해안로 34-16,카페/찻집,1107
339,양정기사식당,부산 부산진구 중앙대로970번길 38-0,한식,1106
340,이비가짬뽕부산명지점 [중식],부산 강서구 명지국제4로208번길 6-8,외국식,1105
341,월내반점[중식],부산 기장군 해맞이로 425-0,외국식,1104
342,할매복집,부산 사하구 다대로 12-0,전문음식,1101
343,무진장횟집,부산 기장군 연화1길 137-0,전문음식,1100
343,대궐쌈밥정관점,부산 기장군 정관5로 26-0,한식,1100
345,듀스포레,부산 남구 황령대로319번가길 193-0,전문음식,1098
346,참소국밥부산본점,부산 남구 유엔로 187-0,한식,1097
346,글리제,부산 강서구 가덕해안로 592-0,카페/찻집,1097
348,우송,부산 기장군 철마로 697-0,한식,1096
349,손영환비빔국수칼국수,부산 금정구 체육공원로 524-0,한식,1093
350,홍유단[중식],부산 부산진구 부전로 34-0,외국식,1092
350,카페베이스,부산 기장군 연화1길 73-0,카페/찻집,1092
352,자갈치횟집,부산 수영구 수영로702번길 28-0,전문음식,1091
353,산골애명지점,부산 강서구 명지오션시티1로 173-0,전문음식,1089
354,EL16.52,부산 서구 암남공원로 177-0,카페/찻집,1087
354,차알동부산롯데월드점,부산 기장군 동부산관광로 34-0,외국식,1087
354,사천게장집,부산 사상구 낙동대로1518번길 27-0,전문음식,1087
357,토리나무,부산 기장군 곰내길 378-0,카페/찻집,1086
358,하동집,부산 금정구 오륜대로 258-0,전문음식,1080
359,흥부네화덕,부산 북구 용당로20번길 6-0,간이음식,1079
360,더파티범일점,부산 부산진구 자유평화로 11-0,전문음식,1075
361,샤브쌈주머니부산오시리아점,부산 기장군 기장해안로 172-0,전문음식,1074
362,식당3선용호점,부산 남구 용호로 91-0,한식,1070
363,강원도막국수,부산 기장군 정관5로 112-0,한식,1069
364,홍유단[중식],부산 수영구 민락수변로 29-0,외국식,1061
365,이티135,부산 사하구 다대로 95-0,카페/찻집,1060
365,문현동곱창골목,부산 남구,음식점기타,1060
367,빕스부산W스퀘어점,부산 남구 분포로 145-0,전문음식,1058
368,수정궁,부산 수영구 민락수변로 25-0,전문음식,1056
369,초량1941,부산 동구 망양로 533-5,카페/찻집,1052
370,늘해랑,부산 부산진구 중앙대로928번길 12-0,한식,1049
370,토다이U명지점,부산 강서구 명지국제6로 107-0,전문음식,1049
370,CAFE미루,부산 강서구 새진목길 58-0,카페/찻집,1049
373,토곡식육식당,부산 연제구 토곡로 7-0,한식,1046
374,대성갈치찌개구이,부산 기장군 대변2길 9-0,한식,1033
375,전원숯불구서점,부산 금정구 금강로 449-0,한식,1030
375,헬카우,부산 기장군 소정길 38-0,전문음식,1030
377,낭만송백,부산 강서구 맥도강변길 283-0,카페/찻집,1028
378,순쌀빵,부산 기장군 구연로 22-0,간이음식,1027
379,안영순베이커리카페,부산 기장군 반송로 1336-0,카페/찻집,1024
380,어구이,부산 기장군 산단2로 53-0,한식,1023
381,파나카F,부산 동래구 금정마을로 54-0,카페/찻집,1019
382,못난이식당기장점,부산 기장군 차성동로73번길 12-0,전문음식,1018
383,경주집,부산 금정구 하마2길 6-0,전문음식,1016
383,바이킹스워프동부산점,부산 기장군 동부산관광로 34-0,전문음식,1016
385,조마루감자탕수영점,부산 수영구 수영로 723-0,한식,1010
386,오늘도대박집명지신호점,부산 강서구 신호산단2로 43-13,한식,1003
387,갈비곳간,부산 부산진구 서면문화로 32-0,한식,1001
388,해신킹크랩대게,부산 부산진구 전포대로275번길 65-0,전문음식,1000
389,원조꼬리곰집,부산 동래구 온천장로 52-0,한식,996
390,한다솥기장점,부산 기장군 기장해안로 128-0,한식,994
